"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","pred"
"GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1,2,0,"no","yes","yes","no","yes","yes","no","no",4,3,3,2,2,5,2,15,15,14,11.2025352993902
"GP","F",17,"U","GT3","A",4,3,"services","services","course","mother",1,2,0,"no","yes","yes","no","yes","yes","yes","yes",5,2,2,1,2,5,23,13,13,13,12.0560330231147
"GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,2,"no","yes","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,8,10,10,10,8.24248994762875
"GP","M",16,"U","GT3","T",3,1,"other","other","reputation","mother",1,1,0,"no","no","no","yes","yes","yes","no","no",5,3,2,2,2,5,2,12,12,14,10.9046331007992
"GP","M",17,"U","LE3","T",2,3,"services","services","reputation","father",1,2,0,"no","yes","yes","no","no","yes","yes","no",5,3,3,1,3,3,2,12,11,12,11.2300581411703
"GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"no","yes","yes","no","yes","yes","yes","no",4,4,2,1,2,5,0,8,11,11,10.8136490019579
"GP","M",15,"U","GT3","T",2,2,"services","services","home","father",1,4,0,"no","yes","yes","yes","yes","yes","yes","no",5,5,4,1,2,5,6,16,14,15,11.6078380856388
"MS","M",19,"U","LE3","T",1,1,"other","at_home","course","father",1,1,0,"no","no","no","no","yes","yes","yes","no",3,2,3,3,3,5,5,8,9,9,10.5456562778631
"GP","F",19,"U","GT3","T",0,1,"at_home","other","course","other",1,2,3,"no","yes","no","no","no","no","no","no",3,4,2,1,1,5,2,7,8,9,3.13638502350661
"GP","F",17,"U","GT3","T",4,2,"other","other","reputation","mother",2,3,0,"no","yes","yes","no","yes","yes","yes","no",4,3,3,1,1,3,0,15,12,14,12.066826509402
"GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",2,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,0,13,13,12,11.1796519499286
"GP","M",17,"U","GT3","T",3,3,"other","services","reputation","mother",1,1,0,"no","no","no","yes","no","yes","yes","no",4,3,5,3,5,5,3,14,15,16,11.3276953781541
"MS","F",18,"U","GT3","T",3,3,"services","services","course","father",1,2,0,"no","yes","no","no","yes","yes","no","yes",5,3,4,1,1,5,0,10,9,9,10.9844490547447
"GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",2,2,1,"no","no","yes","yes","no","yes","yes","no",4,4,2,1,1,3,12,11,10,10,9.44507069043474
"GP","M",17,"R","LE3","T",1,1,"other","services","course","mother",4,2,3,"no","no","no","yes","yes","no","no","yes",5,3,5,1,5,5,0,5,8,7,3.65785392595466
"GP","F",16,"U","LE3","T",4,4,"health","health","other","mother",1,3,0,"no","yes","yes","yes","yes","yes","yes","yes",5,4,5,1,1,4,4,14,15,16,12.2026574135718
